bin,bank,type,length
103,ABC,DC,19
18572,KMRCU,DC,18
303,CEB,DC,16
356390,CITIC,CC,16
356391,CITIC,CC,16
356392,CITIC,CC,16
356827,SHBANK,CC,16
356828,SHBANK,CC,16
356829,SHBANK,CC,16
356830,SHBANK,CC,16
356837,CEB,CC,16
356838,CEB,CC,16
356839,CEB,CC,16
356840,CEB,CC,16
356841,CEB,CC,16
356850,SPDB,CC,16
356851,SPDB,CC,16
356852,SPDB,CC,16
356856,CMBC,CC,16
356857,CMBC,CC,16
356858,CMBC,CC,16
356859,CMBC,CC,16
356868,SPABANK,CC,16
356869,SPABANK,CC,16
356885,CMB,CC,16
356886,CMB,CC,16
356887,CMB,CC,16
356888,CMB,CC,16
356889,CMB,CC,16
356890,CMB,CC,16
370247,ICBC,CC,15
376966,CITIC,CC,15
376968,CITIC,CC,15
376969,CITIC,CC,15
400360,CITIC,CC,16
402673,SHBANK,CC,16
402674,SHBANK,CC,16
403361,ABC,CC,16
403391,CITIC,CC,16
403392,CITIC,CC,16
403393,CITIC,CC,16
404117,ABC,CC,16
404118,ABC,CC,16
404119,ABC,CC,16
404120,ABC,CC,16
404121,ABC,CC,16
404157,CITIC,CC,16
404158,CITIC,CC,16
404159,CITIC,CC,16
404171,CITIC,CC,16
404172,CITIC,CC,16
404173,CITIC,CC,16
404174,CITIC,CC,16
404738,SPDB,CC,16
404739,SPDB,CC,16
405512,COMM,DC,17
406252,CEB,CC,16
406254,CEB,CC,16
406365,GDB,CC,16
406366,GDB,CC,16
407405,CMBC,CC,16
409666,BOC,CC,16
410062,CMB,DC,16
412962,SPABANK,DC,16
412963,SPABANK,DC,16
415599,CMBC,DC,16
415752,SPABANK,DC,16
415753,SPABANK,DC,16
421317,BJBANK,DC,16
421349,CCB,DC,16
421393,CMBC,DC,16
421865,CMBC,DC,16
421869,CMBC,CC,16
421870,CMBC,CC,16
421871,CMBC,CC,16
422160,BJBANK,DC,16
422161,BJBANK,DC,16
425862,CEB,CC,16
427020,ICBC,CC,16
427030,ICBC,CC,16
427570,CMBC,DC,16
427571,CMBC,DC,16
428911,GDB,CC,16
433666,CITIC,CC,16
433667,CITIC,CC,16
433668,CITIC,CC,16
433669,CITIC,CC,16
433670,CITIC,DC,16
